"folderName","name","description","originalSrc","realSrc","coordinates","status"
"東京エリア","第4巻第16話P59","System.Xml.XmlElement","None","None","139.755637,35.6958831,0","done"
"東京エリア","第4巻第16話P??","System.Xml.XmlElement","None","None","139.7556155,35.6960225,0","done"
"東京エリア","リチャードソンが向かっていた編集部って集〇社？","System.Xml.XmlElement","None","None","139.7554493,35.6953952,0","done"
"東京エリア","第5巻第20話「全国①」","System.Xml.XmlElement","None","None","139.8415376,35.4552165,0","done"
"東京エリア","第5巻第20話","System.Xml.XmlElement","None","None","139.7845218,35.5494987,0","done"
"東京エリア","第5巻第20話","System.Xml.XmlElement","None","None","139.78365,35.5495685,0","done"
"東京エリア","第5巻第20話","System.Xml.XmlElement","None","None","139.7833362,35.5499701,0","done"
"東京エリア","第5巻第20話","System.Xml.XmlElement","None","None","139.7829044,35.5486999,0","done"
"東京エリア","第5巻第25話","System.Xml.XmlElement","None","None","139.7515708,35.709762,0","done"
"東京エリア","第5巻第24話","System.Xml.XmlElement","None","None","139.7641933,35.676629,0","done"
"東京エリア","第5巻第20話P14-3","System.Xml.XmlElement","None","None","139.7054323,35.5518095,0","done"
"東京エリア","第5巻第21話P65-4","System.Xml.XmlElement","None","None","139.7053282,35.5510568,0","done"
"東京エリア","第5巻第20話P15-3","System.Xml.XmlElement","None","None","139.7053128,35.5515451,0","done"
"東京エリア","第5巻第20話P14-4","System.Xml.XmlElement","None","None","139.7051834,35.5517867,0","done"
"東京エリア","第5巻第20話P29-2","System.Xml.XmlElement","None","None","139.7051311,35.5510917,0","done"
"横浜エリア","第1巻第1話P5-1コマ目","System.Xml.XmlElement","None","None","139.625663,35.471593,0","done"
"横浜エリア","第1巻第1話P5-1コマ目","System.Xml.XmlElement","None","None","139.647598,35.428262,0","done"
"横浜エリア","第1巻第1話P35-1コマ目","System.Xml.XmlElement","None","None","139.648603,35.430214,0","done"
"横浜エリア","第1巻第1話P35-2コマ目","System.Xml.XmlElement","None","None","139.64862,35.430247,0","done"
"横浜エリア","第1巻第1話P35-3コマ目","System.Xml.XmlElement","None","None","139.648598,35.430229,0","done"
"横浜エリア","第1巻第1話P10ｰ1コマ目","System.Xml.XmlElement","None","None","139.646772,35.433472,0","done"
"横浜エリア","第1巻第1話P24","System.Xml.XmlElement","None","None","139.652278,35.438438,0","done"
"横浜エリア","第1巻第1話P11-3コマ目","System.Xml.XmlElement","None","None","139.654563,35.440736,0","done"
"横浜エリア","ここで左折します","System.Xml.XmlElement","None","None","139.649491,35.429794,0","done"
"横浜エリア","ここに来ると遠回りですよ(^^)","System.Xml.XmlElement","None","None","139.625649,35.47123,0","done"
"横浜エリア","第3巻第9話 P50","System.Xml.XmlElement","None","None","139.616683,35.507653,0","done"
"横浜エリア","第3巻第10話 P75-1","System.Xml.XmlElement","None","None","139.617487,35.509295,0","done"
"横浜エリア","第3巻第9話P49-3","System.Xml.XmlElement","None","None","139.618828,35.508466,0","done"
"横浜エリア","第3巻第10話P75-4","System.Xml.XmlElement","None","None","139.61988,35.466118,0","done"
"横浜エリア","第3巻第10話P70-P71","横浜アリーナ いつか行きたい","None","None","139.619901,35.511872,0","done"
"横浜エリア","BG2019-vol.4 第66話P174-1","System.Xml.XmlElement","None","None","139.6538899,35.4398356,0","done"
"横浜エリア","第11巻第65話P198-199見開き","System.Xml.XmlElement","None","None","139.6557547,35.4395829,0","done"
"横浜エリア","BG2019-Vol.4 第66話P172扉絵","System.Xml.XmlElement","None","None","139.6359604,35.453287,0","done"
"横浜エリア","BG2019-Vol.5第67話P458-1","System.Xml.XmlElement","None","None","139.6411853,35.4528675,0","done"
"横浜エリア","BG2019-Vol.5第67話P461-2","System.Xml.XmlElement","None","None","139.6425425,35.4513686,0","done"
"横浜エリア","第11巻第65話P188-3 ","System.Xml.XmlElement","None","None","139.6378513,35.4608483,0","done"
"横浜エリア","第11巻第65話P181-1","System.Xml.XmlElement","None","None","139.6382488,35.4621043,0","done"
"横浜エリア","BG2019-Vol.4 第66話P171-1","System.Xml.XmlElement","None","None","139.6557207,35.4396254,0","done"
"横浜エリア","第11巻第65話P195-1","System.Xml.XmlElement","None","None","139.6304578,35.4299532,0","done"
"横浜エリア","第11巻第63話扉絵P130-131","System.Xml.XmlElement","None","None","139.6504377,35.4391197,0","done"
